ISO28178
ORIGINATOR "ECI, www.eci.org"
DESCRIPTOR "FOGRA49L"
CREATED    "April 2011"
INSTRUMENTATION "D50, 2 degree, geometry 45/0, no polarisation filter, white backing, according to ISO 13655"
PRINT_CONDITIONS "Offset printing, according to ISO 12647-2:2004/Amd 1, OFCOM, paper type 1 or 2 = coated art, 115 g/m2, tone value increase curves A (CMY) and B (K), 150-200 lpi screen, laminated with matte OPP film"
NUMBER_OF_FIELDS 11
BEGIN_DATA_FORMAT
SAMPLE_ID CMYK_C CMYK_M CMYK_Y CMYK_K XYZ_X XYZ_Y XYZ_Z LAB_L LAB_A LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 1617
BEGIN_DATA
1	0	0	0	0	82.50	85.53	72.51	94.11	0.07	-1.72
2	0	10	0	0	73.50	72.04	63.55	87.99	8.51	-4.03
3	0	20	0	0	65.69	60.67	55.04	82.20	16.69	-5.43
4	0	30	0	0	58.51	50.51	46.78	76.38	25.12	-6.25
5	0	40	0	0	53.19	43.02	40.32	71.57	32.60	-6.54
6	0	55	0	0	46.10	33.32	31.35	64.42	44.34	-6.20
7	0	70	0	0	40.53	25.94	24.10	57.98	55.68	-5.15
8	0	85	0	0	37.00	21.35	19.32	53.33	64.51	-3.73
9	0	100	0	0	34.40	18.19	15.70	49.72	71.33	-1.71
10	10	0	0	0	69.77	74.36	70.54	89.09	-4.10	-8.62
11	10	10	0	0	62.19	62.90	61.52	83.39	3.59	-9.99
12	10	20	0	0	56.02	53.45	53.73	78.14	11.44	-11.04
13	10	30	0	0	49.96	44.59	45.94	72.62	19.62	-11.74
14	10	40	0	0	45.52	38.05	39.74	68.06	26.99	-11.84
15	10	55	0	0	39.56	29.56	31.24	61.27	38.47	-11.45
16	10	70	0	0	34.79	22.98	24.21	55.05	49.72	-10.40
17	10	85	0	0	31.72	18.84	19.45	50.50	58.53	-8.89
18	10	100	0	0	29.50	15.97	15.88	46.94	65.63	-6.96
19	20	0	0	0	59.04	64.78	68.25	84.37	-8.05	-14.68
20	20	10	0	0	52.86	55.08	59.87	79.09	-0.65	-15.76
21	20	20	0	0	47.68	47.00	52.35	74.19	6.65	-16.35
22	20	30	0	0	42.91	39.61	45.18	69.19	14.53	-16.73
23	20	40	0	0	39.11	33.87	39.28	64.86	21.58	-16.75
24	20	55	0	0	33.97	26.30	31.08	58.32	32.80	-16.29
25	20	70	0	0	29.89	20.41	24.25	52.30	43.99	-15.21
26	20	85	0	0	27.18	16.61	19.50	47.77	52.95	-13.71
27	20	100	0	0	25.22	14.00	15.93	44.23	60.17	-11.75
28	30	0	0	0	49.21	55.80	65.84	79.50	-12.07	-20.84
29	30	10	0	0	44.46	47.99	58.14	74.82	-5.19	-21.38
30	30	20	0	0	40.18	41.05	50.94	70.21	1.88	-21.65
31	30	30	0	0	36.24	34.76	44.30	65.56	9.29	-21.93
32	30	40	0	0	33.13	29.82	38.69	61.50	16.14	-21.75
33	30	55	0	0	28.84	23.20	30.78	55.28	27.15	-21.07
34	30	70	0	0	25.43	18.04	24.21	49.54	38.15	-19.90
35	30	85	0	0	23.14	14.66	19.56	45.16	47.09	-18.33
36	30	100	0	0	21.45	12.29	16.05	41.67	54.38	-16.45
37	40	0	0	0	42.12	49.35	63.93	75.67	-15.76	-25.63
38	40	10	0	0	38.15	42.58	56.75	71.27	-9.11	-26.07
