ECI2002     
# 1485 patches, random layout
ORIGINATOR      "System Brunner AG, www.systembrunner.ch, Copyright 2004 System Brunner AG"
DESCRIPTOR      "EUROSB104S"
CREATED	"7/5/2004"  # Time: 19:20
INSTRUMENTATION "GretagMacbeth SpectroScanT, Illumination=D50, ObserverAngle=2 degree, Geometry 45/0, WhiteBase=Absolute, Filter=No, White backing"
PRINT_CONDITIONS        "Offset printing, according to Eurostandard System Brunner specification, within ISO 12647-2:2004 tolerances, paper type coated/semi-matte, 115 g/m2, TVI 15%, screen ruling 60 L/cm, for further information see documentation"
KEYWORD	"SampleID"
KEYWORD	"SAMPLE_NAME"
NUMBER_OF_FIELDS	8
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1485						
BEGIN_DATA							
580	C25	45.22	42.63	7.97	71.30	12.18	58.74
1267	C26	1.53	1.55	1.85	12.91	0.98	-6.54
935	C27	12.54	17.99	4.43	49.48	-28.94	37.43
1261	C28	2.40	2.17	1.82	16.38	6.44	-0.28
918	C29	34.04	34.14	4.38	65.07	3.94	64.60
474	C30	9.15	10.99	11.40	39.56	-11.46	-7.60
452	C31	26.29	33.12	19.64	64.26	-21.74	14.43
438	C32	28.99	24.48	13.20	56.57	22.18	16.54
416	C33	57.01	59.56	23.23	81.60	-1.04	37.18
960	D1	9.71	5.68	8.66	28.60	40.38	-17.46
1059	D2	10.13	8.30	2.47	34.61	17.79	25.12
958	D3	16.49	15.50	20.37	46.31	8.96	-18.05
372	D4	26.22	30.71	25.85	62.26	-13.40	-0.92
370	D5	31.54	40.74	31.62	69.99	-26.12	2.98
362	D6	37.83	43.17	30.09	71.67	-11.86	8.26
364	D7	31.93	32.88	24.24	64.06	0.84	5.06
366	D8	25.34	21.84	17.80	53.86	19.15	0.49
984	D9	12.28	9.49	10.68	36.91	23.50	-9.94
1035	D10	9.13	5.83	3.40	28.99	33.97	8.50
198	D11	21.98	12.15	13.02	41.46	57.75	-9.01
1009	D12	11.43	9.03	7.77	36.04	21.32	-1.28
1008	D13	14.40	14.13	11.15	44.42	4.85	1.53
1007	D14	16.77	18.16	13.53	49.69	-4.07	3.77
371	D15	28.44	35.00	28.26	65.75	-19.55	1.00
419	D16	44.03	38.90	16.70	68.68	20.02	28.56
437	D17	32.97	31.01	15.95	62.52	11.19	19.73
455	D18	20.94	22.20	14.79	54.24	-2.21	8.33
473	D19	10.78	14.41	13.50	44.81	-21.23	-4.55
150	D20	12.08	12.53	26.26	42.05	-0.01	-36.48
1048	D21	21.72	19.17	2.93	50.88	15.95	49.59
953	D22	21.13	18.81	21.35	50.46	15.00	-12.88
1058	D23	12.50	12.60	2.85	42.16	2.36	35.10
963	D24	10.15	10.51	18.82	38.75	0.10	-27.81
1068	D25	3.54	5.90	2.90	29.15	-28.43	12.29
418	D26	47.66	44.78	18.93	72.75	12.79	30.58
436	D27	35.90	36.04	17.88	66.55	3.88	22.19
454	D28	22.49	25.53	16.24	57.59	-9.40	10.52
76	D29	12.31	16.13	39.84	47.14	-20.39	-48.06
738	D30	42.54	41.05	41.28	70.21	9.03	-10.15
1278	D31	2.39	2.60	1.31	18.35	-2.25	8.97
1263	D32	2.12	2.27	2.31	16.84	-1.56	-4.07
1284	D33	1.45	1.93	1.31	15.10	-10.62	3.33
1051	E1	22.07	25.24	3.79	57.31	-10.14	54.74
962	E2	12.28	14.16	22.93	44.46	-9.02	-26.29
1053	E3	16.82	15.81	2.97	46.72	9.03	42.08
394	E4	8.86	8.80	13.36	35.59	3.28	-20.07
684	E5	19.99	11.62	3.06	40.61	51.90	30.90
99	E6	29.40	15.45	14.74	46.25	68.20	-5.33
386	E7	11.00	8.30	11.15	34.59	24.47	-15.41
348	E8	34.83	28.07	19.00	59.95	28.72	8.35
1037	E9	9.08	11.98	6.37	41.18	-18.95	13.41
976	E10	28.26	31.06	24.85	62.56	-6.48	1.37
353	E11	44.21	48.63	30.96	75.22	-7.62	13.01
1012	E12	10.19	12.79	12.48	42.45	-15.54	-5.79
1003	E13	18.93	17.46	11.77	48.84	11.10	7.29
1014	E14	6.68	6.03	7.24	29.50	9.20	-10.43
180	E15	29.23	15.53	13.07	46.35	67.12	-0.71
1042	E16	4.54	7.91	5.95	33.80	-34.08	2.60
989	E17	7.16	6.19	9.69	29.88	12.44	-18.85
1032	E18	15.11	16.71	6.67	47.89	-5.83	23.69
979	E19	15.36	11.23	10.77	39.96	29.84	-4.98
1022	E20	26.34	25.73	7.83	57.78	6.42	35.98
465	E21	13.30	13.84	12.05	44.00	-0.27	-1.89
443	E22	35.93	41.52	21.44	70.54	-13.22	21.57
429	E23	33.73	27.17	13.42	59.13	28.46	20.36
407	E24	65.93	66.58	23.98	85.29	3.91	42.15
847	E25	32.32	28.66	17.46	60.48	17.68	12.68
791	E26	18.11	22.62	33.11	54.68	-18.33	-25.67
1282	E27	1.84	1.96	1.21	15.28	-1.26	4.98
779	E28	40.08	41.78	38.79	70.72	-0.65	-6.01
920	E29	23.18	16.69	3.05	47.87	35.58	43.50
470	E30	13.84	21.86	17.91	53.88	-39.39	0.28
456	E31	18.14	17.26	12.42	48.59	8.08	4.96
434	E32	42.79	47.46	21.91	74.48	-8.61	27.43
420	E33	38.77	30.74	14.17	62.29	31.58	23.81
950	F1	16.04	8.63	8.64	35.26	54.03	-5.90
1069	F2	2.93	3.78	2.48	22.94	-11.89	4.92
948	F3	26.97	23.09	22.47	55.17	20.21	-6.94
481	F4	8.17	13.71	14.58	43.81	-38.23	-9.11
334	F5	65.02	70.62	36.95	87.30	-6.79	25.08
326	F6	68.42	68.85	34.26	86.43	4.46	27.39
562	F7	7.49	13.18	10.23	43.04	-41.14	2.06
330	F8	45.57	34.62	19.52	65.45	38.38	16.72
994	F9	4.27	4.46	9.64	25.14	-0.42	-26.85
1025	F10	15.45	8.83	3.37	35.65	48.95	20.15
813	F11	21.03	11.39	9.91	40.23	58.59	-1.75
1019	F12	3.73	4.17	6.97	24.23	-4.24	-18.38
998	F13	24.73	21.62	12.55	53.62	17.61	13.26
1017	F14	5.37	8.48	11.23	34.96	-28.76	-15.03
335	F15	59.23	61.32	33.09	82.55	0.25	22.41
971	F16	35.12	36.75	25.74	67.09	-1.07	7.60
1030	F17	11.59	6.95	3.20	31.70	41.13	14.52
981	F18	21.57	25.09	23.14	57.16	-11.80	-4.79
1040	F19	5.21	3.88	3.28	23.28	19.72	-0.55
991	F20	7.18	11.57	18.84	40.53	-33.28	-24.79
848	F21	25.42	17.99	11.78	49.48	38.36	8.37
851	F22	37.55	39.97	24.04	69.45	-3.20	14.73
431	F23	26.41	16.40	8.69	47.49	51.04	14.99
863	F24	15.81	21.03	20.01	52.98	-23.68	-5.81
467	F25	10.28	8.04	8.39	34.06	21.30	-7.05
875	F26	44.80	45.58	12.26	73.27	2.47	47.97
440	F27	22.54	14.53	8.83	44.99	45.11	10.19
893	F28	24.84	28.98	10.71	60.76	-12.73	31.06
476	F29	7.06	6.34	8.28	30.25	9.84	-13.22
731	F30	53.25	52.62	47.80	77.65	6.56	-5.27
1280	F31	2.16	1.92	1.18	15.07	7.09	5.02
749	F32	31.66	34.40	42.35	65.28	-5.41	-20.01
1286	F33	1.44	1.48	1.10	12.47	0.35	1.60
91	G1	70.30	75.14	62.41	89.46	-4.54	-0.41
