ISO28178
ORIGINATOR	"X-Rite, Inc."
FILE_DESCRIPTOR	"Japan Color 2011 for Sheet-fed Offset based on ISO 12647-2"
CREATED	"2011/03/05"
INSTRUMENTATION	"i1iO"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT							
SAMPLE_NO	SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT							
NUMBER_OF_SETS	1617							
BEGIN_DATA								
103	12	10	20	0	0	81.384401	8.815084	-8.910716
104	1354	0	0	0	70	49.460284	0.220578	-1.157287
105	287	40	85	30	0	43.223332	39.252333	-8.276132
106	1185	40	100	100	60	22.739902	28.655336	15.095953
107	886	20	0	70	20	72.237222	-12.671834	41.759404
108	1608	70	70	20	10	38.444162	11.496584	-24.172864
109	1329	0	0	95	0	89.351060	-6.286617	88.939155
110	1528	10	40	20	10	67.093146	17.896097	2.474720
111	1278	0	0	100	100	17.690253	-1.598617	13.628135
112	1508	0	70	20	10	57.099095	43.487728	4.048996
113	239	100	40	20	0	41.375160	-25.476752	-39.315447
114	1095	100	100	0	60	14.919975	12.909824	-29.189574
115	275	30	40	30	0	64.977981	9.953442	0.664758
116	767	0	10	10	20	77.920479	4.648166	4.106084
117	1231	0	100	70	80	21.401843	31.831678	12.419227
118	465	70	55	55	0	45.199685	-3.979069	-3.847164
119	354	30	20	40	0	72.371500	-3.697615	11.264399
120	1033	40	40	70	40	45.380011	0.829931	18.970405
121	1068	100	40	100	40	29.421209	-36.543401	9.988549
122	109	30	0	10	0	81.896538	-11.470145	-7.869729
123	1283	40	100	100	100	11.495660	6.704580	6.631891
124	66	85	20	0	0	53.788322	-20.035179	-43.790481
125	945	100	100	100	20	18.817452	-3.278584	-3.209374
126	1521	10	20	0	10	76.173336	8.149099	-8.486544
127	1403	20	12	12	100	15.715284	1.090829	1.668087
128	277	30	70	30	0	52.367992	31.813546	-2.773526
129	1325	0	3	0	0	92.834486	2.527054	-1.912061
130	655	0	70	100	0	59.468900	43.085503	60.358002
131	1507	0	70	10	10	57.325948	44.197786	-1.136462
132	1126	20	0	40	60	50.856263	-7.314908	11.770982
133	238	100	30	20	0	44.179690	-30.663190	-39.243565
134	868	100	0	40	20	44.868725	-46.209512	-22.100326
135	227	85	10	20	0	55.465310	-30.881191	-30.566267
136	350	20	85	40	0	48.449651	48.159852	5.629948
137	74	100	10	0	0	50.607301	-31.466606	-51.736440
138	311	85	40	30	0	46.212128	-18.220471	-25.903580
139	1575	40	20	70	10	63.061460	-10.331589	28.643087
140	63	70	100	0	0	28.975328	41.040874	-34.809712
141	1473	3	0	3	40	69.385988	-1.035404	-0.564502
142	638	85	85	85	0	29.924651	1.672305	0.301294
