ISO28178
ORIGINATOR	"X-Rite, Inc."
FILE_DESCRIPTOR	"Japan Color 2011 for Sheet-fed Offset based on ISO 12647-2"
CREATED	"2011/03/05"
INSTRUMENTATION	"i1iO"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
NUMBER_OF_FIELDS	9
BEGIN_DATA_FORMAT							
SAMPLE_NO	SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT							
NUMBER_OF_SETS	1617							
BEGIN_DATA								
451	520	30	70	70	0	51.297134	28.721404	22.292714
452	77	100	40	0	0	42.496004	-18.245347	-50.329316
453	1268	100	100	0	100	8.494183	7.405091	-5.235220
454	379	70	0	40	0	63.704996	-32.967694	-6.932161
455	549	70	100	70	0	28.462443	30.578309	-4.287243
456	1497	0	20	10	10	79.123567	10.688027	3.187994
457	1121	0	0	40	60	55.230586	-2.668067	17.701542
458	1199	0	100	0	80	20.607062	36.417193	-1.747837
459	1170	100	100	70	60	14.765233	1.464444	-10.097869
460	128	55	10	10	0	67.636107	-15.366489	-22.092893
461	687	40	20	100	0	66.167620	-12.735252	59.944449
462	641	100	10	85	0	45.929496	-61.052197	7.748678
463	1460	40	0	40	3	74.700480	-19.133516	9.852068
464	639	85	100	85	0	24.628156	15.486645	-4.292143
465	640	100	0	85	0	48.310079	-66.016211	9.328307
466	761	100	10	0	20	44.620251	-28.617805	-45.714533
467	318	100	20	30	0	46.235345	-38.722253	-33.172786
468	100	20	0	10	0	85.732443	-8.108157	-3.030073
469	1111	70	0	20	60	40.036294	-17.584084	-13.284103
470	309	85	20	30	0	52.234769	-28.750336	-24.653632
471	724	100	30	100	0	40.347537	-54.972876	16.007467
472	1183	40	40	100	60	36.133375	-0.410748	30.785949
473	416	10	10	55	0	82.773949	-2.798612	36.877714
474	1464	0	40	40	3	72.693154	21.890524	20.964851
475	343	20	0	40	0	84.138819	-11.727676	20.887582
476	220	70	30	20	0	55.232660	-13.310282	-23.795608
477	1361	0	0	0	15	85.489767	0.345529	-1.534115
478	1008	40	40	40	40	46.363072	3.220897	1.664399
479	730	0	0	0	20	82.693364	0.305650	-1.562022
480	1092	100	20	0	60	29.746991	-17.974541	-31.943124
481	36	30	100	0	0	39.079956	62.069962	-17.117827
482	1102	20	20	20	60	46.448001	1.572377	0.064738
483	1239	70	100	70	80	14.856150	13.256239	-0.373709
484	1259	100	100	100	80	12.565395	-0.861334	0.320009
485	1375	40	27	27	10	62.677587	-2.149057	-4.204315
486	498	10	20	70	0	78.061721	2.483183	46.863081
487	1501	0	40	0	10	70.984657	23.824569	-5.794742
488	490	0	30	70	0	77.613675	13.721392	49.175336
489	726	100	55	100	0	34.086849	-38.824533	8.611289
490	473	85	40	55	0	45.068563	-24.231116	-9.487559
491	82	0	0	10	0	93.715940	-0.836581	7.098911
492	502	10	70	70	0	56.915997	38.720966	31.511402
493	1195	100	100	100	60	14.880651	-1.892400	-1.461189
494	606	40	20	85	0	66.785559	-12.078151	44.847521
495	1262	0	100	0	100	11.157459	17.113111	3.315465
496	1187	70	20	100	60	34.328414	-19.230084	24.305160
497	1054	20	70	100	40	40.424124	23.787682	36.492508
498	1495	0	10	70	10	80.429596	0.647838	52.307831
499	965	70	100	0	40	22.427830	31.919774	-26.767835
500	1281	40	0	100	100	16.244347	-5.689517	10.912902
501	58	70	30	0	0	56.308985	-8.491090	-36.382819
502	515	30	10	70	0	74.790497	-12.064208	39.345048
503	1461	0	3	40	3	88.681153	-1.753365	29.986623
504	477	85	100	55	0	24.799270	20.658230	-18.331501
505	38	40	10	0	0	74.639309	-7.265656	-21.656050
506	42	40	55	0	0	56.622033	19.766895	-23.229674
507	479	100	10	55	0	47.254225	-52.505851	-14.558429
508	334	10	0	40	0	87.969535	-7.991405	26.115272
509	660	10	20	100	0	76.848515	1.528649	78.263421
510	1419	0	3	0	3	90.869724	2.443016	-1.927740
511	963	70	40	0	40	39.898258	-1.756739	-27.781885
512	642	100	20	85	0	43.599388	-56.226060	6.083591
513	52	55	70	0	0	45.622708	22.851893	-29.635880
514	1229	0	40	70	80	32.967993	8.285081	20.237764
515	1371	40	27	27	0	66.823405	-2.413903	-4.293730
516	1233	40	40	70	80	27.436497	0.771072	11.439122
517	653	0	40	100	0	72.436089	19.846639	74.371971
518	929	40	10	100	20	61.242236	-16.475782	55.514770
519	1458	0	0	40	3	90.122732	-3.792284	30.932776
520	917	10	10	100	20	70.645791	-4.602137	72.085910
521	1188	70	40	100	60	30.837168	-12.056047	20.114444
522	407	0	10	55	0	86.625670	1.807021	42.561996
523	940	100	0	100	20	42.549592	-61.384627	19.515926
524	1418	3	0	0	3	91.097753	-0.687439	-3.037402
525	3	0	20	0	0	85.083063	12.856955	-4.129688
526	765	100	100	0	20	20.107360	17.732570	-42.270225
527	183	20	20	20	0	76.833553	2.475183	1.270394
528	537	55	55	70	0	49.111181	3.000663	13.110069
529	336	10	20	40	0	79.453196	4.394364	20.914650
530	37	40	0	0	0	78.648026	-12.930933	-20.908280
531	412	0	70	55	0	60.295995	44.572190	26.093154
532	696	55	20	100	0	60.114888	-21.750260	49.158402
533	905	100	10	70	20	41.284399	-50.446009	-3.714447
534	162	100	100	10	0	22.357495	16.480116	-43.874005
535	676	30	0	100	0	77.365761	-19.588122	74.761876
536	1099	0	70	20	60	37.019212	28.119260	2.214893
537	153	85	100	10	0	25.344052	29.320091	-37.117432
538	394	85	70	40	0	36.101884	-1.552425	-22.078512
539	443	40	10	55	0	71.588073	-15.417460	20.900102
540	1614	0	0	100	10	83.385430	-6.273485	87.678997
541	848	10	70	40	20	50.469214	35.139985	9.605490
542	417	10	20	55	0	78.707857	3.269167	33.966256
543	1352	0	0	0	80	41.467871	0.341572	-0.722958
544	1128	20	40	40	60	41.270919	7.846819	6.768985
545	613	55	0	85	0	67.342187	-31.964792	40.858969
546	1332	0	0	80	0	90.091246	-5.931449	70.692277
547	567	100	100	70	0	21.123981	2.374284	-18.369269
548	499	10	30	70	0	74.058934	8.724693	43.701437
549	514	30	0	70	0	78.729681	-18.260685	42.508126
550	1157	40	20	70	60	41.270337	-6.878582	18.498858
551	361	40	0	40	0	76.281573	-19.566636	10.155429
552	1433	7	0	7	7	86.769587	-3.097928	0.685216
553	187	20	70	20	0	55.271224	37.320315	-4.014328
554	1248	40	0	100	80	33.444663	-11.943986	29.679698
555	841	0	40	40	20	65.235631	19.080599	18.184019
556	1333	0	0	75	0	90.320970	-5.763205	65.378068
557	595	30	0	85	0	77.946768	-19.156253	57.886613
558	68	85	40	0	0	47.671882	-10.044459	-43.208083
559	1057	40	20	100	40	50.104796	-9.946369	44.662029
560	426	20	20	55	0	75.214454	-0.999714	28.910864
561	138	70	20	10	0	58.914917	-16.157764	-29.579137
562	134	55	85	10	0	39.224590	33.118542	-24.524252
563	566	100	85	70	0	26.079849	-11.124055	-15.567032
564	121	40	30	10	0	66.535236	1.779695	-15.677543
565	1282	40	40	100	100	14.285185	-0.775885	8.952626
566	805	0	40	20	20	65.974800	20.356568	6.147624
567	970	100	100	0	40	17.572587	15.634122	-36.118684
568	50	55	40	0	0	57.607793	3.146023	-29.946064
569	20	20	10	0	0	82.001807	-0.444819	-12.464390
570	1019	100	70	40	40	24.688295	-10.266588	-22.793338
571	993	100	40	20	40	31.743526	-19.550509	-30.115173
572	1034	40	70	70	40	36.559892	17.889875	12.929863
573	1050	0	100	100	40	35.050568	51.905639	32.513187
574	1060	40	100	100	40	27.727468	36.170841	18.856663
575	764	100	70	0	20	29.576305	-1.747420	-43.025419
576	55	70	0	0	0	66.037893	-23.364950	-36.294145
577	902	70	70	70	20	35.206448	4.173902	2.371024
578	79	100	70	0	0	33.228112	-1.896566	-48.496469
579	384	70	55	40	0	45.781768	-1.435973	-13.708427
580	1538	20	0	20	10	79.683256	-8.931455	4.138529
581	1274	40	100	40	100	10.905009	11.192631	2.591071
582	262	20	0	30	0	84.621862	-10.698785	12.464449
583	1322	0	10	0	0	89.526049	6.914883	-2.923241
584	1545	20	10	70	10	73.368138	-7.509811	41.614359
585	803	0	10	20	20	77.465239	3.673243	10.638461
586	708	70	55	100	0	43.638318	-9.018727	27.537501
587	1580	40	40	70	10	56.183034	1.237927	23.663906
588	948	0	40	0	40	56.728125	18.892675	-5.067390
589	1542	20	10	10	10	76.182818	-1.919210	-4.416832
590	376	55	70	40	0	44.593051	17.191891	-8.756959
591	982	40	20	20	40	52.567122	-3.749538	-6.599772
592	483	100	55	55	0	35.382709	-28.116677	-19.647093
593	663	10	55	100	0	62.501625	26.005307	61.865155
594	563	100	40	70	0	39.025862	-41.498204	-8.256081
595	1529	10	40	40	10	66.373661	16.246776	15.238072
596	1368	100	85	85	0	25.749123	-14.514218	-7.228259
597	47	55	10	0	0	68.411753	-12.911954	-29.335982
598	1535	10	70	70	10	53.288744	35.935571	29.366317
599	23	20	40	0	0	69.433789	17.506843	-14.662189
600	1546	20	20	0	10	72.998923	4.820033	-12.575480
601	1061	70	0	100	40	46.158272	-31.719545	34.635540
602	326	0	10	40	0	87.449819	2.776456	28.753093
603	215	55	85	20	0	39.039477	31.854200	-19.939599
604	1219	40	100	40	80	17.388918	24.438547	-1.237582
605	368	40	85	40	0	42.991841	38.263553	-3.099690
606	69	85	55	0	0	42.481238	-1.369897	-42.723474
607	1025	0	100	70	40	34.879370	53.368349	20.375832
608	1224	100	0	40	80	23.996374	-23.941532	-11.623581
609	414	0	100	55	0	46.905368	71.810351	21.324394
610	469	85	0	55	0	56.497564	-45.439752	-3.678707
611	222	70	55	20	0	46.210410	2.179247	-25.222789
612	554	85	40	70	0	44.460552	-27.102052	0.693468
613	293	55	40	30	0	56.223529	-2.046410	-11.687814
614	1016	100	0	40	40	38.780431	-39.815674	-19.343275
615	1071	0	0	0	60	56.958651	0.178389	-1.387383
616	1232	40	0	70	80	33.794663	-10.750975	16.342507
617	1273	40	40	40	100	13.894613	2.034095	2.392434
618	750	40	20	0	20	62.144553	-1.535318	-19.636070
619	295	55	70	30	0	44.795848	18.562101	-14.323581
620	1181	40	0	100	60	44.813372	-15.627784	40.932944
621	889	20	40	70	20	58.591757	9.176836	30.727084
622	1280	0	100	100	100	12.663620	11.245286	9.080934
623	758	70	70	0	20	36.565840	14.478726	-32.041955
624	602	30	85	85	0	45.207494	40.225605	27.942792
625	140	70	40	10	0	52.166204	-5.337709	-30.233210
626	1388	80	65	65	60	23.892773	-2.861938	-2.911481
627	1563	40	0	20	10	72.260100	-15.714219	-5.313188
628	255	10	20	30	0	79.906347	5.304827	13.079816
629	491	0	40	70	0	73.099818	20.938453	45.867994
630	445	40	30	55	0	64.403216	-3.997688	16.451419
631	296	55	85	30	0	38.834714	30.614589	-15.262046
632	1044	100	70	70	40	23.961862	-15.999112	-9.405843
633	218	70	10	20	0	61.387215	-23.458153	-22.583535
634	203	40	40	20	0	62.058022	6.717329	-10.246698
635	1438	40	0	3	0	78.347175	-13.729549	-18.072501
636	1173	0	40	100	60	43.855863	10.612542	44.841889
637	522	30	100	70	0	38.980799	55.569143	15.010519
638	340	10	70	40	0	57.651547	40.301789	11.523444
639	122	40	40	10	0	62.512433	8.067097	-16.389523
640	786	40	20	10	20	61.742775	-3.116889	-13.341753
641	1088	70	40	0	60	32.291154	-1.067414	-22.760335
642	149	85	40	10	0	47.095404	-13.112616	-37.289512
643	316	100	0	30	0	51.405225	-48.110814	-32.238166
644	1578	40	40	20	10	58.209202	6.363103	-9.771440
645	1402	40	27	27	100	14.518131	0.737298	1.122941
646	1503	0	40	20	10	70.330500	22.040285	6.835521
647	564	100	55	70	0	34.820125	-32.033279	-10.882466
648	1	0	0	0	0	94.376137	0.486025	-1.424273
649	648	100	100	85	0	21.081938	-1.230471	-10.855739
650	1479	3	40	3	40	55.894412	17.600447	-4.271630
651	312	85	55	30	0	41.240058	-8.952303	-26.737421
652	1148	0	40	70	60	44.720454	11.063177	27.152282
653	1579	40	40	40	10	57.479542	3.979335	2.504978
654	654	0	55	100	0	65.827447	31.288816	67.162206
655	488	0	10	70	0	86.022790	1.041575	56.129608
656	787	40	40	10	20	54.998385	7.275460	-14.707357
657	1165	70	100	70	60	18.598627	18.381137	-1.880391
658	1449	40	3	0	3	75.703608	-10.918043	-20.722808
659	1179	20	70	100	60	32.580403	19.311361	28.795050
660	1560	20	70	70	10	50.645329	31.338567	25.003973
661	560	100	10	70	0	46.618217	-57.021171	-3.722819
662	422	10	85	55	0	50.875952	51.998456	18.955608
663	1214	0	70	40	80	27.381679	20.415566	7.502294
664	933	40	100	100	20	32.056951	42.262186	22.127731
665	250	0	70	30	0	60.736753	46.143029	10.153346
666	915	0	100	100	20	41.100580	60.768866	38.513881
667	729	100	100	100	0	20.923618	-2.974810	-3.471908
668	996	0	0	40	40	68.721649	-3.212903	22.223156
669	739	10	40	0	20	63.679962	18.505675	-9.500970
670	369	40	100	40	0	36.281166	53.025422	-4.438451
671	835	100	40	20	20	36.780126	-22.585345	-34.791952
672	102	20	20	10	0	77.339634	3.739609	-5.752173
673	517	30	30	70	0	67.356868	-0.304159	33.581993
674	727	100	70	100	0	30.104602	-28.392959	4.788383
675	523	40	0	70	0	74.645484	-22.819745	36.357276
676	281	40	10	30	0	72.778382	-12.341850	0.183415
677	1531	10	70	0	10	54.740163	40.657409	-10.603480
678	530	40	85	70	0	42.527790	35.502493	13.750763
679	755	70	10	0	20	55.096496	-16.175230	-31.973488
680	1600	70	20	70	10	52.298507	-25.740793	12.245971
681	589	20	30	85	0	70.114977	3.567885	52.676411
682	716	85	40	100	0	43.262694	-31.835281	23.062519
683	1257	100	40	100	80	19.104191	-20.930670	6.409347
684	518	30	40	70	0	63.351685	6.405851	30.557116
685	596	30	10	85	0	74.125194	-12.937901	54.148421
686	956	40	0	0	40	59.008158	-9.752900	-15.499400
687	1615	0	100	100	10	43.901946	64.972682	40.929999
688	1184	40	70	100	60	29.400784	13.248744	22.791558
689	1412	40	0	40	70	40.841785	-10.406954	5.161015
690	1351	0	0	0	85	36.622304	0.479545	-0.308596
691	25	20	70	0	0	55.652518	39.403694	-14.992601
692	41	40	40	0	0	63.059407	9.636475	-22.965980
693	1192	100	20	100	60	27.372039	-36.023818	11.378152
694	908	100	70	70	20	27.439886	-19.176546	-11.151163
695	1270	0	40	40	100	14.816203	5.836321	6.028504
696	611	40	85	85	0	42.349862	34.581219	22.995227
697	370	55	0	40	0	69.714102	-26.382624	1.257373
698	352	30	0	40	0	80.313291	-15.471204	15.682957
699	1028	20	40	70	40	50.223122	7.656616	26.191391
700	1265	40	100	0	100	10.453294	13.594502	-0.472767
701	1341	0	0	15	0	93.421897	-1.428373	11.137659
702	411	0	55	55	0	66.696532	33.150316	29.515349
703	864	70	20	40	20	50.404348	-19.620130	-9.030995
704	199	40	0	20	0	77.205819	-16.852695	-5.607614
705	1056	40	0	100	40	55.192465	-19.002091	50.273802
706	937	70	40	100	20	43.195984	-16.756745	28.963270
707	88	0	70	10	0	61.089773	47.765209	-0.860580
708	1522	10	20	10	10	75.657908	6.882590	-1.382957
709	826	70	0	20	20	57.003207	-25.402478	-19.032807
710	728	100	85	100	0	25.836504	-17.219594	0.980252
711	867	70	100	40	20	25.546611	30.736763	-16.517807
712	11	10	10	0	0	85.624108	3.018142	-7.899043
713	120	40	20	10	0	70.219244	-3.779684	-14.944011
714	54	55	100	0	0	32.651996	48.827793	-29.062389
715	1053	20	40	100	40	49.425785	6.608939	47.079518
716	1551	20	40	0	10	65.092476	16.261287	-13.866045
717	244	0	0	30	0	92.618634	-2.947495	23.129624
718	73	100	0	0	0	53.730958	-35.993302	-51.732176
719	5	0	40	0	0	75.895465	25.765561	-6.003432
720	67	85	30	0	0	50.916934	-15.380756	-43.485480
721	1360	0	0	0	20	82.693364	0.305650	-1.562022
722	253	10	0	30	0	88.492126	-7.030343	17.606014
723	957	40	20	0	40	53.359524	-1.175548	-16.837783
724	1365	0	0	0	3	92.384342	0.454079	-1.449198
725	1480	40	40	3	40	47.441098	7.347724	-15.984509
726	659	10	10	100	0	80.772968	-4.575011	82.594146
727	1299	25	0	0	0	84.499228	-8.011593	-13.677719
728	1338	0	0	30	0	92.618634	-2.947495	23.129624
729	621	55	100	85	0	32.107078	38.945421	10.368840
730	1284	100	0	100	100	13.753738	-13.478112	5.424471
731	1500	0	20	70	10	76.556236	6.432507	48.857337
732	64	85	0	0	0	59.838559	-29.249047	-43.983922
733	1358	0	0	0	30	76.756262	0.234377	-1.598139
734	799	100	40	10	20	37.041391	-19.638462	-39.566065
735	975	0	100	20	40	34.590523	56.651913	2.268286
736	1506	0	70	0	10	57.567387	45.042999	-6.635133
737	457	55	70	55	0	44.117983	15.266152	0.376638
738	374	55	40	40	0	55.929278	-3.634394	-5.010368
739	830	70	70	20	20	36.194631	10.996395	-22.805491
740	1020	100	100	40	40	17.284559	7.296686	-24.041646
741	941	100	10	100	20	40.164418	-56.824820	17.446505
742	1313	0	75	0	0	59.058642	52.481981	-6.551504
743	881	10	10	70	20	71.835008	-3.571398	43.550348
744	428	20	40	55	0	67.029463	11.979953	23.750889
745	559	100	0	70	0	49.164050	-61.952769	-2.563731
746	338	10	40	40	0	70.852519	17.601290	16.578439
747	1536	20	0	0	10	80.739049	-6.088008	-10.673997
748	424	20	0	55	0	83.344826	-13.120812	34.673484
749	246	0	20	30	0	83.657484	9.682577	18.243209
750	862	70	0	40	20	56.303636	-28.928293	-6.222779
751	438	30	55	55	0	57.686331	18.379634	15.627136
752	712	85	0	100	0	54.201489	-53.360656	34.689759
753	1193	100	40	100	60	24.551351	-29.160477	8.549256
754	866	70	70	40	20	35.773202	7.989712	-13.456695
755	381	70	20	40	0	57.360618	-22.445133	-9.640472
756	1058	40	40	100	40	44.875357	-0.572685	38.785244
757	1194	100	70	100	60	19.684191	-16.420663	3.744795
758	1369	80	65	65	0	38.328875	-5.829655	-4.100279
759	1260	0	0	0	100	16.649837	1.650114	2.668800
760	1327	0	0	100	0	89.149656	-6.336570	93.780981
761	9	0	100	0	0	46.703934	75.818393	-3.699350
762	1287	100	0	0	0	53.730958	-35.993302	-51.732176
763	1603	70	40	20	10	48.593159	-6.846591	-22.978563
764	1190	70	100	100	60	18.795086	16.147356	7.443318
765	1553	20	40	20	10	64.135787	14.086271	-1.555420
766	824	40	70	20	20	43.685506	24.757872	-11.212654
767	1255	70	100	100	80	15.146842	11.308229	5.896893
768	1156	40	0	70	60	45.701062	-14.289775	22.120215
769	1617	100	100	0	10	21.364103	18.361403	-45.038767
770	1588	70	0	20	10	60.686875	-27.037977	-20.363265
771	616	55	30	85	0	57.442132	-15.090058	32.235691
772	920	10	70	100	20	49.422477	32.478841	47.620268
773	273	30	20	30	0	72.851709	-2.549994	3.663297
774	1539	20	0	40	10	78.735433	-11.051003	19.166567
775	1593	70	10	20	10	57.654905	-21.954093	-21.143069
776	569	0	10	85	0	85.461117	0.445133	71.558733
777	1370	60	45	45	0	52.301059	-3.691943	-4.657833
778	1342	0	0	10	0	93.715940	-0.836581	7.098911
779	668	20	10	100	0	77.092878	-9.042145	76.376615
780	1364	0	0	0	5	91.284673	0.436441	-1.462960
781	196	30	70	20	0	52.570233	32.804539	-8.089471
782	632	85	10	85	0	52.030794	-46.112421	18.586658
783	335	10	10	40	0	83.556231	-1.607393	23.321768
784	543	70	20	70	0	55.832179	-27.537155	13.623090
785	1440	0	40	3	0	75.737425	25.373431	-3.459329
786	1355	0	0	0	60	56.958651	0.178389	-1.387383
787	386	70	85	40	0	34.855442	20.384570	-16.661724
788	1017	100	20	40	40	35.070788	-32.371450	-20.551491
789	439	30	70	55	0	51.678181	29.627913	12.681919
790	710	70	85	100	0	33.730602	13.598212	16.339373
791	211	55	30	20	0	60.311359	-6.633408	-16.883262
792	1534	10	70	40	10	53.952151	37.603790	10.527949
793	1175	0	100	100	60	28.510527	41.929809	25.615524
794	853	20	40	40	20	59.495439	11.304783	10.181556
795	492	0	55	70	0	66.263203	32.539560	40.814710
796	899	70	10	70	20	51.818742	-28.760524	13.087509
797	284	40	40	30	0	61.665046	5.465673	-3.989649
798	1024	0	70	70	40	44.987393	32.135900	26.731034
799	399	100	20	40	0	45.643894	-42.261699	-26.625455
800	981	40	0	20	40	57.939934	-12.578680	-4.427903
801	34	30	70	0	0	52.899593	35.195953	-18.976710
802	590	20	40	85	0	65.987934	10.437333	48.897500
803	531	40	100	70	0	36.308803	50.174366	10.544161
804	532	55	0	70	0	67.969763	-30.643055	26.726703
805	1602	70	40	10	10	48.940499	-4.871360	-28.453937
806	1567	40	10	10	10	69.206741	-8.582323	-13.258605
807	1611	50	40	40	0	57.703845	-1.008097	-2.397864
808	1356	0	0	0	50	64.186897	0.172098	-1.516873
809	1336	0	0	50	0	91.514471	-4.599342	41.195309
810	1316	0	50	0	0	70.953219	33.139596	-6.592090
811	1296	50	0	0	0	74.274095	-16.571431	-26.246315
812	958	40	40	0	40	47.586538	7.792839	-17.696261
813	686	40	10	100	0	69.642761	-18.406879	63.829964
814	57	70	20	0	0	59.553106	-13.399396	-36.393990
815	387	70	100	40	0	28.583977	34.659028	-18.466624
816	393	85	55	40	0	40.958905	-11.311067	-20.915600
817	1496	0	20	0	10	79.543408	11.863666	-4.044622
818	329	0	40	40	0	74.227420	22.477559	21.561055
819	903	70	100	70	20	25.429669	27.131207	-3.577373
820	892	40	0	70	20	65.656684	-20.060965	31.755624
821	466	70	70	55	0	39.986377	6.449694	-6.130276
822	792	70	20	10	20	51.920643	-14.050572	-26.080759
823	516	30	20	70	0	71.078943	-6.246805	36.430753
824	390	85	20	40	0	51.700453	-31.368495	-17.838048
825	766	0	0	10	20	82.034802	-0.887179	5.721531
826	146	85	10	10	0	56.015704	-27.934002	-37.036444
827	1036	70	0	70	40	47.375518	-28.904841	13.226726
828	1467	3	0	0	40	69.621854	-0.653565	-2.719099
829	1317	0	40	0	0	75.895465	25.765561	-6.003432
830	619	55	70	85	0	43.260302	12.750600	19.700123
831	1222	70	70	40	80	18.952072	5.452391	-6.749311
832	960	40	100	0	40	27.338694	44.450955	-17.053753
833	1387	100	85	85	60	17.417430	-7.666884	-3.681339
834	1616	100	0	100	10	45.093170	-65.258277	20.609320
835	95	10	40	10	0	72.000277	20.365448	-3.584762
836	351	20	100	40	0	41.323147	63.126968	4.597586
837	979	20	70	20	40	41.218733	28.188962	-3.815571
838	139	70	30	10	0	55.743980	-11.103428	-29.882178
839	245	0	10	30	0	87.982891	3.558073	20.485228
840	1079	20	70	0	60	33.185915	24.691855	-9.874630
841	1123	0	40	40	60	45.027264	12.621883	12.412917
842	113	30	40	10	0	65.805837	12.267975	-11.976299
843	362	40	10	40	0	72.304036	-13.648164	8.025650
844	446	40	40	55	0	60.529968	2.549521	14.139725
845	1431	7	7	0	7	83.984403	2.225969	-5.945884
846	430	20	70	55	0	54.492340	34.486544	17.147504
847	1349	0	0	0	95	23.580334	1.162320	1.477153
848	1537	20	0	10	10	80.186238	-7.624886	-3.012316
849	935	70	10	100	20	50.777203	-31.839525	37.184670
850	263	20	10	30	0	80.334951	-4.501203	10.233820
851	317	100	10	30	0	48.740789	-43.278711	-32.758457
852	456	55	55	55	0	49.665802	4.504713	2.988135
853	1353	0	0	0	75	45.602665	0.265203	-0.980831
854	1446	40	3	40	0	75.016951	-17.697783	9.471040
855	1445	3	3	40	0	89.349027	-3.075651	29.061042
856	1372	20	12	12	0	80.451717	-1.127011	-3.300010
857	1367	0	0	0	0	94.376137	0.486025	-1.424273
858	81	100	100	0	0	22.821039	18.702811	-47.922386
859	721	100	0	100	0	47.575410	-69.505236	21.312840
860	657	0	100	100	0	46.893666	69.563962	43.309167
861	1169	100	70	70	60	19.864555	-12.444368	-7.697558
862	132	55	55	10	0	51.065345	10.996684	-24.248825
863	325	0	0	40	0	92.066545	-3.835788	31.786281
864	1423	0	3	3	3	90.640619	1.966439	1.026895
865	735	0	100	0	20	40.692934	66.937591	-4.387798
866	836	100	70	20	20	28.790136	-7.315165	-34.987423
867	535	55	30	70	0	57.944334	-13.706762	19.454301
868	468	70	100	55	0	28.446867	32.271633	-11.497601
869	770	0	70	10	20	53.769487	41.026804	-1.326679
870	1548	20	20	20	10	71.947585	2.257442	0.952405
871	656	0	85	100	0	53.456704	55.413421	52.252960
872	1519	10	10	40	10	78.163495	-1.622682	21.437544
873	1037	70	20	70	40	42.075016	-20.594307	9.196306
874	900	70	20	70	20	49.029435	-24.099809	11.093388
875	679	30	30	100	0	66.213641	-1.688497	62.385782
876	406	0	0	55	0	91.246682	-4.917704	46.167487
877	1407	0	0	100	70	46.297605	-4.612818	48.473025
878	1331	0	0	85	0	89.849332	-6.083507	76.592649
879	946	0	0	0	40	70.562102	0.188098	-1.586427
880	890	20	70	70	20	47.473380	29.229526	23.270468
881	1304	5	0	0	0	92.149324	-1.500625	-4.198959
882	60	70	55	0	0	46.939504	6.179065	-36.255076
883	637	85	70	85	0	34.594881	-9.819058	4.087743
884	90	0	100	10	0	46.736848	74.929495	0.705822
885	1090	70	100	0	60	18.489630	25.243244	-21.536441
886	6	0	55	0	0	68.471539	36.941635	-6.741112
887	928	40	0	100	20	64.098538	-21.864446	58.635002
888	264	20	20	30	0	76.368375	1.350561	8.341677
889	489	0	20	70	0	81.807823	7.306086	52.430543
890	1122	0	20	40	60	50.106167	4.784852	14.820863
891	243	100	100	20	0	22.075412	14.054494	-40.151645
892	1141	100	0	40	60	31.560396	-32.252752	-16.024807
893	788	40	70	10	20	43.890185	25.735020	-15.778456
894	988	70	40	20	40	39.394445	-5.449654	-18.554057
895	107	20	85	10	0	48.789357	50.651508	-9.310729
896	216	55	100	20	0	32.282410	45.922312	-20.937507
897	521	30	85	70	0	45.347098	41.037371	18.460842
898	1595	70	10	70	10	55.158336	-30.718813	14.266760
899	298	70	0	30	0	64.129406	-30.902236	-14.729272
900	986	70	0	20	40	48.871581	-21.761354	-16.392559
901	1012	70	20	40	40	42.918826	-16.675054	-8.192483
902	1321	0	15	0	0	87.254545	9.939821	-3.572548
903	485	100	85	55	0	26.441047	-7.829660	-23.348410
904	117	30	100	10	0	39.046352	60.895966	-12.956983
905	84	0	20	10	0	84.563377	11.606933	3.693165
906	1320	0	20	0	0	85.083063	12.856955	-4.129688
907	720	85	100	100	0	24.464297	13.162189	2.468636
908	1143	100	40	40	60	25.160836	-19.342800	-17.273576
909	1118	100	40	20	60	25.748152	-15.605016	-24.411363
910	1132	40	20	40	60	41.738154	-4.638604	3.194869
911	1476	3	3	3	40	68.249253	0.425370	-0.941504
912	103	20	30	10	0	73.286026	9.635339	-6.809473
913	701	55	85	100	0	37.568091	23.619879	23.592063
914	883	10	40	70	20	61.297773	13.141327	34.995346
915	1203	40	100	0	80	16.917145	26.726527	-8.894374
916	16	10	70	0	0	58.424997	43.663801	-10.955175
917	1161	70	0	70	60	38.185706	-23.562090	10.644472
918	773	10	10	10	20	74.517462	1.245245	-0.260751
919	1573	40	20	20	10	65.331690	-4.900669	-7.800354
920	1303	7	0	0	0	91.373834	-2.182767	-5.163169
921	698	55	40	100	0	53.289479	-9.584220	41.655943
922	1414	3	3	0	0	91.553025	1.336496	-3.522959
923	1086	70	0	0	60	40.431335	-14.630459	-21.710149
924	882	10	20	70	20	68.399485	1.685148	40.591624
925	448	40	70	55	0	48.709126	24.306816	7.897818
926	620	55	85	85	0	37.856491	24.610454	14.729654
927	208	55	0	20	0	70.589415	-23.031726	-14.202098
928	1212	0	0	40	80	40.435127	-1.836308	13.134294
929	400	100	30	40	0	43.070238	-37.435417	-27.267474
930	129	55	20	10	0	64.256808	-10.154124	-22.657343
931	87	0	55	10	0	68.167081	35.998733	-0.345696
932	585	10	100	85	0	44.185827	64.582418	31.863354
