ISO28178										
ORIGINATOR	"WAN-IFRA. www.wan-ifra.org"									
DESCRIPTOR	"Ifra26L"									
CREATED	"30.06.2004"									
INSTRUMENTATION	"GRETAGMACBETH SpectroScan. D50. 2 degree. geometry 45/0. no polarisation filter. white backing"
PRINT_CONDITIONS	"Newspaper Coldset-Offset printing according to ISO/DIS 12647-3:2004. standard newsprint. screen ruling 40 l/cm ± 2 l/cm"
NUMBER_OF_FIELDS	11									
BEGIN_DATA_FORMAT										
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT										
NUMBER_OF_SETS	1485									
BEGIN_DATA										
227	85	10	20	0	19.66	24.96	26.83	57.04	-20.5	-11.63
228	85	20	20	0	18.46	22.34	24.66	54.39	-15.2	-12.37
229	85	30	20	0	17.45	20.2	22.82	52.06	-10.53	-12.97
230	85	40	20	0	16.54	18.34	21.15	49.9	-6.25	-13.44
231	85	55	20	0	15.45	16.2	19.11	47.23	-1.01	-13.82
232	85	70	20	0	14.61	14.64	17.56	45.14	3.05	-14.01
233	85	85	20	0	14.07	13.66	16.53	43.74	5.73	-14.03
234	85	100	20	0	13.66	12.94	15.76	42.68	7.75	-14.02
235	100	0	20	0	18.82	25.68	28.67	57.73	-27.79	-13.49
236	100	10	20	0	17.72	23.1	26.33	55.18	-22.54	-13.97
237	100	20	20	0	16.73	20.82	24.25	52.75	-17.45	-14.44
238	100	30	20	0	15.87	18.89	22.49	50.56	-12.9	-14.93
239	100	40	20	0	15.11	17.24	20.92	48.56	-8.74	-15.27
240	100	55	20	0	14.16	15.32	18.96	46.07	-3.72	-15.49
241	100	70	20	0	13.45	13.93	17.48	44.14	0.12	-15.55
242	100	85	20	0	12.98	13.05	16.49	42.83	2.68	-15.51
243	100	100	20	0	12.64	12.41	15.76	41.87	4.56	-15.43
244	0	0	30	0	59.23	61.88	29.36	82.85	-1.03	28.69
245	0	10	30	0	54.2	53.76	26.63	78.32	6.09	25.42
246	0	20	30	0	49.62	46.55	24.03	73.9	13.17	22.43
247	0	30	30	0	45.85	40.81	21.87	70.04	19.4	19.86
248	0	40	30	0	42.6	35.98	19.96	66.51	25.18	17.63
249	0	55	30	0	38.87	30.54	17.65	62.12	32.65	15.06
250	0	70	30	0	36.19	26.73	15.9	58.72	38.61	13.3
251	0	85	30	0	34.54	24.39	14.75	56.47	42.74	12.28
252	0	100	30	0	33.39	22.76	13.87	54.82	45.87	11.71
253	10	0	30	0	50.94	55.02	28.73	79.05	-5.48	23.16
